id,nickname,affiliation name,score,LIGAbue - timestamp,LIGAbue - score,Secure comparator - timestamp,Secure comparator - score,Borraccia - timestamp,Borraccia - score,Big RSA - timestamp,Big RSA - score,Scrambled Pizzeria - timestamp,Scrambled Pizzeria - score,Duality - timestamp,Duality - score,ZIP Extractor 3000 - timestamp,ZIP Extractor 3000 - score,Subarray Sums 101 - timestamp,Subarray Sums 101 - score,LogService - timestamp,LogService - score,:q!!!!!!! - timestamp,:q!!!!!!! - score,Safe Image Storage - timestamp,Safe Image Storage - score,leakynote v3 - timestamp,leakynote v3 - score,ᴬnother ᵤseless ᴬpplication - timestamp,ᴬnother ᵤseless ᴬpplication - score,Super Admin Panel - timestamp,Super Admin Panel - score,Modern Sicilian Network - timestamp,Modern Sicilian Network - score
128,GhostInTheShell,TeamItaly CTF 2023,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1696102235090,196
220,AlanTuringProject,TeamItaly CTF 2023,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1696129095385,196
242,TEAM A,TeamItaly CTF 2023,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1696131298269,196
271,CY_CLOWNS,TeamItaly CTF 2023,195,1696096655064,96,,,,,,,,,,,,,,,,,,,,,,,,,1696096906615,99,,
335,HazmatBoumiz,TeamItaly CTF 2023,195,1696096934137,96,,,,,,,,,,,,,,,,,,,,,,,,,1696094582992,99,,
31,BeautifulSssup,TeamItaly CTF 2023,186,1696111465742,96,,,,,1696113718619,90,,,,,,,,,,,,,,,,,,,,,,
218,dadadani,TeamItaly CTF 2023,99,,,,,,,,,,,,,,,,,,,,,,,,,,,1696078789969,99,,
34,pwnthenope,TeamItaly CTF 2023,99,,,,,,,,,,,,,,,,,,,,,,,,,,,1696157144995,99,,
70,ReverseIT,TeamItaly CTF 2023,96,1696084910134,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,IngrifHackTeam,TeamItaly CTF 2023,96,1696090619205,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,Tower of Hanoi,TeamItaly CTF 2023,96,1696091652981,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,V:HackaBoia,TeamItaly CTF 2023,96,1696099237411,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,Obe-One,TeamItaly CTF 2023,90,,,,,,,1696076289482,90,,,,,,,,,,,,,,,,,,,,,,
294,EccRoll,TeamItaly CTF 2023,90,,,,,,,1696077596116,90,,,,,,,,,,,,,,,,,,,,,,
306,Hantu Siber,TeamItaly CTF 2023,90,,,,,,,1696080255325,90,,,,,,,,,,,,,,,,,,,,,,
93,:capoo_scared:,TeamItaly CTF 2023,90,,,,,,,1696084148342,90,,,,,,,,,,,,,,,,,,,,,,
177,CyberSpace,TeamItaly CTF 2023,90,,,,,,,1696095543435,90,,,,,,,,,,,,,,,,,,,,,,
332,Zer0Slove,TeamItaly CTF 2023,90,,,,,,,1696101331405,90,,,,,,,,,,,,,,,,,,,,,,
194,Arr3stY0u,TeamItaly CTF 2023,90,,,,,,,1696126488256,90,,,,,,,,,,,,,,,,,,,,,,
434,kanon,TeamItaly CTF 2023,90,,,,,,,1696158916503,90,,,,,,,,,,,,,,,,,,,,,,
